"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","BLZ_1","BLZ_2","BLZ_3","PD1_PDL1_1","PD1_PDL1_2","PD1_PDL1_3","PD1_PDL1_4","combo_1","combo_2","combo_3","combo_4"
"H2-DMa",5.49229884670483,5.314956555363,6.30214393180503,5.80691852079831,5.79872409873406,5.44601867233777,5.52266878475124,6.22145985113915,8.13786610022627,5.35408865085313,6.72235514144428,7.52069575630514,6.25427816720211,8.12322202445605,8.71122938729962
"H2-Q5",4.01245036655119,3.9070680723047,5.70169421744445,3.54361438807634,4.43675190738829,2.99105547305253,4.38325166091622,5.21662093929549,6.079966556991,3.73103361253275,5.3018072931066,6.73710856927029,4.93751202775958,7.40932736727476,7.91790308003428
"H2-T23",4.85653619403994,4.81321052628006,6.24846810791489,5.15439379234225,5.49767231887891,5.32882317936111,5.01221792079026,5.77333248282383,6.99084056441174,4.98991356308623,6.00246956795736,6.80219107436483,6.04108822272659,7.14900325369711,8.20899803808658
"Mr1",5.27587592460616,5.40604104923444,5.61688820783231,5.6188404783361,5.71216030829557,5.08842003534084,5.4671487513676,5.8811142107133,6.57083367786736,5.20598928759609,6.2873080307146,6.9533865592062,6.07036251359511,6.38629501028128,8.45013921739603
"Hck",5.50394103632669,5.03738137677206,5.69147571986671,5.82761495412894,6.10058889081492,5.89793541566485,5.57606007861213,6.87873131952926,7.26091137807987,5.98673914815875,6.79350871054902,7.05972774305404,6.48917309997575,7.17384452865311,8.44393756338976
"Hpse",4.62685930862836,3.76262407340464,5.5766356611963,4.62473806686254,4.75315652518194,3.87492542481481,4.22771369754539,5.02553978876495,6.84836059974277,3.91440463933645,5.4645025271171,6.36470751883375,4.93151968093159,7.42948623350786,7.99815246210831
"Ifi204",3.59549340656873,3.69592870207114,4.60587572932189,3.73667665794612,4.42030109501044,3.14911264088399,3.68296124567634,5.21610575229462,5.58078778105214,3.66432874473151,5.23243802060201,5.36680319136334,4.68053580348294,5.9081772442563,7.08835645109379
"Igh-V3609N",4.2613894021304,4.3183488072319,6.50117917899072,4.94236437055842,4.55277384935771,4.65758975194028,6.54329492779929,8.63172912191994,10.1731794889242,4.11751730043745,7.30515952956459,9.21086262135613,6.47415420043048,12.8830603671252,12.6870963040247
"Igtp",3.36036052591397,3.18956010720722,4.87771866553724,2.5984579402353,4.35441300692572,2.7537402760411,4.11613767277888,5.38960356640895,7.42506554870885,3.38495501860628,7.42016028490897,7.91173124759881,5.16479091363978,7.62795238272767,8.09725399021212
"Il2rb",3.58471176242095,4.20819070959474,4.74175270349462,3.74201821868094,4.00972896106927,3.57909817444285,4.31956577776819,4.72938058672355,5.90713104084968,3.76319671641144,4.54813521731681,5.44057445127035,4.65679951033153,6.44701971290429,7.43818580020256
"Irf9",5.19240604049623,5.59979048542289,5.73097013464163,5.8599682970297,6.08846315805489,5.75702253148218,5.55901215517364,6.13632515129416,6.67941042657769,5.5545116847718,6.70619919391899,6.80470931953236,6.08846315805489,7.21152713395145,7.45327410318399
"Itga4",5.72046831962799,5.44990042009179,6.79465754539844,5.48989052807292,5.95119453339664,5.36870776870527,5.86942748997808,6.144783970106,7.06102622994043,5.5080094908742,5.99181925317858,6.56060987797929,6.38399950646779,7.89053519263666,8.64998438835037
"Itgal",4.8237948325822,4.32112872638677,6.4712850011621,4.51202120240507,5.16641524417096,4.30311299043189,5.21914689758543,5.75296223839604,7.01428747365222,4.54588852689879,6.005342799788,6.52827223520538,6.24917661183913,8.09055460220811,8.9070955365603
"Itgam",4.86015598417034,3.98208409105708,5.75096461897151,4.64896685284437,4.77285352583477,3.64336885303208,4.57904199325813,5.1676043387312,6.41094345057394,3.6677031273822,5.98896304867888,6.66717954813369,5.49152759269119,6.48125778806078,8.26936059060536
"Itgax",5.4174432284462,5.06443543613994,5.49119325414001,5.94797426347585,5.43297198942462,4.87012461811904,4.55749870472985,5.90672509619074,7.05039878969077,5.05719066190895,6.54626380698475,7.18186034689982,6.12031374193452,7.36294246071567,8.22096818715093
"Itgb2",6.52662908213353,6.6363781868117,7.74566632491253,7.01594453374949,7.13849121769336,7.28070811036284,6.86902141540982,7.66532962255041,8.7223969554871,6.88660568651574,7.76625938526582,8.62320638467482,7.64409660863778,8.93846889984354,10.092002308646
"Kcnn4",3.5282629322442,3.60080735115376,4.66946293325381,3.8291771707168,3.92279719901588,3.33316889950594,3.70660750179844,4.41293150876339,4.89493570535364,3.85882569226727,4.2455229394844,5.16902957648965,3.99029729854289,6.0648608233866,7.03345108205517
"Serpina3c",3.14539525551762,2.96403081293838,3.10218704580098,3.83541049433584,3.83541049433584,3.43538000305632,3.9590159185806,2.96254239704817,5.16324231227554,3.44834058034545,4.60543112394364,6.33941782105481,6.10832417635506,4.83307998158897,7.80042949253777
"Klra2",2.90690622344421,2.71522282446961,3.65984392770438,3.09161725505527,2.93551532009887,3.04342556778378,2.98802482577378,4.75276202735121,5.81375517300649,3.5057116302348,4.59917937373202,4.8918348098243,4.20839449359555,4.98687730628555,6.46943227895472
